ring	date	sex	age	site
EC60781	2020-04-15	M	A	Wuerm
EC60781	2020-04-16	M	A	Wuerm
EC60771	2020-04-15	F	A	Wuerm
EC63501	2021-05-05	F	A	Wuerm
EC60703	2021-05-08	F	A	Aubach
EC60701	2021-05-08	F	A	Kienbach
EC63502	2021-05-09	M	A	Wuerm
EC60764	2021-05-10	M	A	Wuerm
EC60800	2021-05-19	F	A	Wuerm
EC63505	2021-02-06	M	A	Wuerm
EC60703	2021-02-07	F	A	Aubach
EC60764	2021-02-14	M	A	Wuerm
EC60781	2021-02-14	M	A	Wuerm
EC63505	2021-02-18	M	A	Wuerm
EC60729	2021-02-21	F	A	Luessbach
EC60771	2019-06-24	F	A	Wuerm
EC60772	2019-06-24	M	A	Wuerm
EC60773	2019-06-24	U	A	Wuerm
EC60710	2019-07-17	F	A	Wuerm
EC60710	2019-08-06	F	A	Wuerm
EC60752	2019-10-21	M	A	Wuerm
EC60764	2021-02-19	M	A	Wuerm
EC63501	2021-02-19	F	A	Wuerm
EC63505	2021-02-26	M	A	Wuerm
EC60703	2021-02-28	F	A	Aubach
EC63504	2021-02-28	M	A	Kienbach
EC60734	2019-10-18	F	A	Wuerm
EC60764	2019-10-29	M	A	Wuerm
EC60752	2019-10-29	M	A	Wuerm
EC60771	2019-12-20	F	A	Wuerm
EC60703	2020-03-29	F	A	Aubach
EC60734	2019-06-24	F	A	Wuerm
EC60771	2020-06-10	F	A	Wuerm
EC60792	2020-06-10	F	A	Wuerm
EC60793	2020-06-10	U	A	Wuerm
EC60781	2020-09-02	M	A	Wuerm
EC60800	2020-09-02	F	A	Wuerm
EC63501	2020-09-02	F	A	Wuerm
EC60730	2019-04-07	M	A	Wuerm
EC60730	2019-04-08	M	A	Wuerm
EC60730	2019-04-06	M	A	Wuerm
EC60734	2019-04-06	F	A	Wuerm
EC60730	2019-04-14	M	A	Wuerm
EC60762	2021-02-28	U	A	MaisingerBach
EC63501	2021-03-07	F	A	Wuerm
EC60764	2021-03-07	M	A	Wuerm
EC63505	2021-03-07	M	A	Wuerm
EC60772	2021-03-14	M	A	MaisingerBach
EC63561	2022-10-26	U	A	Wuerm
EC63589	2022-10-18	U	A	Wuerm
EC63536	2022-09-28	M	A	Wuerm
EC63533	2022-09-06	F	A	Wuerm
EC63566	2022-09-06	U	A	Wuerm
EC63536	2022-09-06	M	A	Wuerm
EC60701	2021-01-17	F	A	Kienbach
EC63501	2021-01-15	F	A	Wuerm
EC60764	2021-01-15	M	A	Wuerm
EC63501	2021-01-21	F	A	Wuerm
EC60764	2021-01-21	M	A	Wuerm
EC60764	2021-01-19	M	A	Wuerm
EC63501	2021-01-19	F	A	Wuerm
EC63501	2021-01-27	F	A	Wuerm
EC63501	2021-01-30	F	A	Wuerm
EC60764	2021-01-27	M	A	Wuerm
EC60734	2019-04-14	F	A	Wuerm
EC60746	2019-04-16	M	A	Wuerm
EC60730	2019-04-17	M	A	Wuerm
EC60752	2019-04-26	M	A	Wuerm
EC60746	2019-05-19	M	A	Wuerm
EC60765	2019-05-20	U	A	Wuerm
EC60730	2019-05-20	M	A	Wuerm
EC60730	2019-05-19	M	A	Wuerm
EC60800	2020-09-17	F	A	Wuerm
EC63502	2020-10-03	M	A	Wuerm
EC63502	2021-12-26	M	A	Wuerm
EC60779	2021-12-26	F	A	Wuerm
EC60778	2022-01-06	F	A	Wuerm
EC60764	2022-01-06	M	A	Wuerm
EC60764	2022-01-15	M	A	Wuerm
EC60781	2022-01-29	M	A	Wuerm
EC60781	2022-03-20	M	A	Wuerm
EC63502	2022-03-20	M	A	Wuerm
EC60800	2022-03-26	F	A	Wuerm
EC60781	2022-03-26	M	A	Wuerm
EC63536	2022-03-27	M	A	Wuerm
EC63553	2022-03-27	U	A	Wuerm
EC63555	2022-03-27	U	A	Wuerm
EC63556	2022-03-27	U	A	Wuerm
EC60791	2022-03-31	F	A	Wuerm
EC63557	2022-03-31	U	A	Wuerm
EC63559	2022-03-31	U	A	Wuerm
EC60800	2022-04-05	F	A	Wuerm
EC60778	2022-04-05	F	A	Wuerm
EC60764	2021-01-30	M	A	Wuerm
EC60772	2021-01-30	M	A	MaisingerBach
EC60762	2021-01-30	U	A	MaisingerBach
EC60781	2021-01-30	M	A	Wuerm
EC60778	2021-02-03	F	A	Wuerm
EC63501	2021-06-20	F	A	Wuerm
EC63531	2021-07-08	U	A	Wuerm
EC60764	2021-07-08	M	A	Wuerm
EC63536	2021-07-17	M	A	Wuerm
EC63536	2021-07-18	M	A	Wuerm
EC63502	2021-07-18	M	A	Wuerm
EC60764	2021-07-18	M	A	Wuerm
EC60771	2020-11-21	F	A	Wuerm
EC60764	2020-11-21	M	A	Wuerm
EC60800	2020-11-21	F	A	Wuerm
EC60791	2020-11-16	F	A	Wuerm
EC60703	2020-11-25	F	A	Aubach
EC63510	2022-04-05	M	A	Wuerm
EC60764	2022-04-05	M	A	Wuerm
EC63501	2022-04-05	F	A	Wuerm
EC63536	2022-05-06	M	A	Wuerm
EC60764	2022-04-25	M	A	Wuerm
EC60778	2022-04-24	F	A	Wuerm
EC60779	2022-04-24	F	A	Wuerm
EC63533	2022-04-24	F	A	Wuerm
EC63502	2021-07-31	M	A	Wuerm
EC63536	2021-07-31	M	A	Wuerm
EC63511	2021-07-25	M	A	Wuerm
EC63502	2021-07-25	M	A	Wuerm
EC63501	2021-04-23	F	A	Wuerm
EC63519	2021-04-25	U	A	Aubach
EC60703	2021-04-25	F	A	Aubach
EC60764	2021-05-04	M	A	Wuerm
EC63501	2021-05-04	F	A	Wuerm
EC60764	2021-04-16	M	A	Wuerm
EC60781	2020-12-13	M	A	Wuerm
EC60800	2020-12-13	F	A	Wuerm
EC60764	2020-12-13	M	A	Wuerm
EC60764	2020-12-30	M	A	Wuerm
EC60791	2021-01-06	F	A	Wuerm
EC63501	2021-01-08	F	A	Wuerm
EC63505	2021-01-10	M	A	Wuerm
EC60764	2021-01-10	M	A	Wuerm
EC63501	2021-01-10	F	A	Wuerm
EC63506	2021-01-10	M	A	Wuerm
EC60764	2021-01-14	M	A	Wuerm
EC63501	2021-01-14	F	A	Wuerm
